0.500000000000000000e+00 0.500000000000000000e+00
1.000000000000000000e+00 1.000000000000000000e+00
2.000000000000000000e+00 1.999610185623168945e+00
3.000000000000000000e+00 2.999534368515014648e+00
4.000000000000000000e+00 3.999484777450561523e+00
5.000000000000000000e+00 4.999407768249511719e+00
6.000000000000000000e+00 5.999267101287841797e+00
7.000000000000000000e+00 7.000351905822753906e+00
8.000000000000000000e+00 7.999470710754394531e+00
9.000000000000000000e+00 8.999323844909667969e+00
1.000000000000000000e+01 9.999484062194824219e+00
